VBELN,CustomerId,CustomerName,Country,Segment,Product,Qty_Ordered,Unit_Price_EUR,Net_Value_EUR,Currency,SO_Date,Requested_Delivery_Date,Incoterms,Payment_Terms,Status,SalesOffice,SalesRep,Offset_Obligation_Pct
SD00000019,CUST-IDN-001,Indonesian Air Force,Indonesia,Government,Rafale F4,6,95000000,589105492.64,EUR,2019-10-30,2021-07-01,DAP,"30% advance, 70% on delivery",Fully Delivered,New Delhi,Antoine Morel,0
SD00000020,CUST-PRIV-004,Total Energies,France,Commercial,MRO_Package_Annual,1,5000000,5082004.18,EUR,2019-01-14,2021-03-24,EXW,L/C 90 days,In Production,Singapore,Sophie Leclerc,0
SD00000021,CUST-IND-001,Indian Air Force,India,Government,Falcon 6X,1,45000000,45344471.29,EUR,2023-04-10,2024-03-24,CIF,"30% advance, 70% on delivery",In Production,Singapore,Jean-Pierre Martin,0
SD00000022,CUST-HRV-001,Croatian Air Force,Croatia,Government,Rafale F3-R,11,90000000,955442240.42,EUR,2019-09-14,2020-11-03,DAP,L/C 90 days,In Production,Cairo,Isabelle Bernard,50
SD00000023,CUST-PRIV-003,Air France,France,Commercial,Falcon 8X,1,60000000,57690995.5,EUR,2019-01-01,2020-02-22,CIF,"30% advance, 70% on delivery",Open,New Delhi,Sophie Leclerc,0
SD00000024,CUST-IND-001,Indian Air Force,India,Government,Rafale F4,10,95000000,971058715.31,EUR,2023-01-03,2024-04-05,CIF,"30% advance, 70% on delivery",Fully Delivered,New Delhi,Antoine Morel,50
SD00000025,CUST-PRIV-004,Total Energies,France,Commercial,Falcon 6X,1,45000000,44071255.01,EUR,2020-02-28,2023-01-26,DDP,L/C 90 days,In Production,Paris,Sophie Leclerc,0
SD00000026,CUST-IDN-001,Indonesian Air Force,Indonesia,Government,Falcon 10X,9,75000000,648244995.83,EUR,2021-03-01,2022-08-23,EXW,"30% advance, 70% on delivery",Open,Singapore,Isabelle Bernard,50
SD00000027,CUST-PRIV-001,Tata Sons Ltd,India,Private,Falcon 8X,6,60000000,372954378.34,EUR,2021-08-30,2022-11-28,EXW,Milestone-based,In Production,New Delhi,Jean-Pierre Martin,0
SD00000028,CUST-PRIV-002,Reliance Industries,India,Private,Falcon 6X,12,45000000,558731146.99,EUR,2021-12-04,2024-07-20,DAP,L/C 90 days,Fully Delivered,Paris,Sophie Leclerc,0
SD00000029,CUST-PRIV-004,Total Energies,France,Commercial,MRO_Package_Annual,1,5000000,4814101.67,EUR,2023-07-27,2024-02-26,DDP,Milestone-based,Fully Delivered,Paris,Sophie Leclerc,0
SD00000030,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Government,Falcon 6X,7,45000000,328707818.78,EUR,2021-08-30,2025-03-07,EXW,"30% advance, 70% on delivery",In Production,New Delhi,Jean-Pierre Martin,30
SD00000031,CUST-IND-002,Indian Navy,India,Government,Falcon 8X,1,60000000,57845074.97,EUR,2023-05-28,2024-03-13,EXW,L/C 90 days,Partially Delivered,New Delhi,Isabelle Bernard,0
SD00000032,CUST-PRIV-001,Tata Sons Ltd,India,Private,Training_Package,1,3000000,2933379.23,EUR,2019-11-13,2023-09-19,CIF,L/C 90 days,Fully Delivered,Paris,Isabelle Bernard,0
SD00000033,CUST-HRV-001,Croatian Air Force,Croatia,Government,Rafale F3-R,7,90000000,612876678.67,EUR,2019-06-03,2021-06-28,DAP,Milestone-based,Partially Delivered,Abu Dhabi,Marc Dupont,0
SD00000034,CUST-PRIV-003,Air France,France,Commercial,Rafale F3-R,4,90000000,367243236.17,EUR,2021-03-15,2021-11-16,DAP,"30% advance, 70% on delivery",In Production,Singapore,Marc Dupont,0
SD00000035,CUST-HRV-001,Croatian Air Force,Croatia,Government,Training_Package,1,3000000,3019328.49,EUR,2023-01-24,2025-08-15,EXW,L/C 90 days,Partially Delivered,Paris,Marc Dupont,50
SD00000036,CUST-PRIV-002,Reliance Industries,India,Private,MRO_Package_Annual,1,5000000,4935984.9,EUR,2022-10-08,2024-03-24,EXW,Milestone-based,Cancelled,Paris,Sophie Leclerc,0
SD00000037,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Government,Training_Package,1,3000000,2980255.46,EUR,2019-03-29,2019-12-24,DAP,L/C 90 days,Partially Delivered,Paris,Jean-Pierre Martin,0
SD00000038,CUST-IND-001,Indian Air Force,India,Government,Spare_Parts_Bundle,1,2500000,2513460.84,EUR,2019-02-16,2022-02-20,DAP,Milestone-based,In Production,New Delhi,Isabelle Bernard,50
SD00000039,CUST-IND-001,Indian Air Force,India,Government,Rafale F3-R,9,90000000,777391694.56,EUR,2022-02-09,2025-02-10,DAP,L/C 90 days,Open,Paris,Marc Dupont,50
SD00000040,CUST-IND-001,Indian Air Force,India,Government,Training_Package,1,3000000,2875330.5,EUR,2023-09-14,2024-06-06,DAP,"30% advance, 70% on delivery",Partially Delivered,Paris,Isabelle Bernard,50
SD00000041,CUST-UAE-001,UAE Air Force,UAE,Government,MRO_Package_Annual,1,5000000,4789853.79,EUR,2018-07-15,2020-08-22,EXW,Milestone-based,In Production,Abu Dhabi,Sophie Leclerc,50
SD00000042,CUST-EGY-001,Egyptian Air Force,Egypt,Government,Rafale F4,12,95000000,1105407109.04,EUR,2018-03-13,2021-11-09,EXW,L/C 90 days,Partially Delivered,Singapore,Marc Dupont,50
SD00000043,CUST-HRV-001,Croatian Air Force,Croatia,Government,Spare_Parts_Bundle,1,2500000,2524040.07,EUR,2023-07-26,2024-03-22,DAP,Milestone-based,In Production,New Delhi,Sophie Leclerc,50
SD00000044,CUST-HRV-001,Croatian Air Force,Croatia,Government,Falcon 8X,8,60000000,500254524.08,EUR,2022-11-27,2025-08-09,DDP,"30% advance, 70% on delivery",Partially Delivered,Abu Dhabi,Antoine Morel,0
SD00000045,CUST-PRIV-001,Tata Sons Ltd,India,Private,Falcon 6X,3,45000000,137692942.93,EUR,2023-04-30,2023-12-04,EXW,Milestone-based,Open,Cairo,Isabelle Bernard,0
SD00000046,CUST-IND-002,Indian Navy,India,Government,Falcon 10X,6,75000000,455707694.04,EUR,2018-04-13,2019-02-25,DAP,Milestone-based,Fully Delivered,Singapore,Isabelle Bernard,50
SD00000047,CUST-IDN-001,Indonesian Air Force,Indonesia,Government,Rafale F4,5,95000000,453024159.99,EUR,2020-12-11,2024-09-20,DAP,L/C 90 days,In Production,Singapore,Marc Dupont,50
SD00000048,CUST-IND-001,Indian Air Force,India,Government,MRO_Package_Annual,1,5000000,4874645.26,EUR,2018-09-27,2021-01-02,DAP,Milestone-based,Fully Delivered,Singapore,Antoine Morel,50
SD00000049,CUST-IND-001,Indian Air Force,India,Government,Falcon 10X,11,75000000,852235803.71,EUR,2023-07-29,2026-04-12,CIF,L/C 90 days,Fully Delivered,New Delhi,Jean-Pierre Martin,0
SD00000050,CUST-IDN-001,Indonesian Air Force,Indonesia,Government,Training_Package,1,3000000,3055546.71,EUR,2022-08-26,2025-04-14,EXW,"30% advance, 70% on delivery",Fully Delivered,Cairo,Isabelle Bernard,0
SD00000051,CUST-EGY-001,Egyptian Air Force,Egypt,Government,Falcon 6X,8,45000000,352319581.11,EUR,2018-07-21,2021-10-06,EXW,"30% advance, 70% on delivery",Partially Delivered,New Delhi,Sophie Leclerc,30
SD00000052,CUST-HRV-001,Croatian Air Force,Croatia,Government,Falcon 8X,4,60000000,245687231.13,EUR,2023-10-13,2027-08-03,DAP,L/C 90 days,Partially Delivered,Cairo,Jean-Pierre Martin,0
SD00000053,CUST-PRIV-004,Total Energies,France,Commercial,Falcon 10X,3,75000000,233627062.34,EUR,2019-07-26,2020-03-15,DAP,L/C 90 days,In Production,Cairo,Antoine Morel,0
SD00000054,CUST-EGY-001,Egyptian Air Force,Egypt,Government,Rafale F4,2,95000000,188304096.45,EUR,2019-10-11,2020-06-03,EXW,"30% advance, 70% on delivery",Fully Delivered,Singapore,Jean-Pierre Martin,0
SD00000055,CUST-GRC-001,Hellenic Air Force,Greece,Government,Training_Package,1,3000000,3120249.74,EUR,2019-04-04,2020-03-20,DAP,L/C 90 days,Cancelled,Singapore,Antoine Morel,50
SD00000056,CUST-PRIV-002,Reliance Industries,India,Private,Falcon 10X,11,75000000,825677943.66,EUR,2018-10-17,2022-05-08,EXW,Milestone-based,Cancelled,Singapore,Sophie Leclerc,0
SD00000057,CUST-EGY-001,Egyptian Air Force,Egypt,Government,Rafale F4,8,95000000,793957037.83,EUR,2021-12-29,2025-05-30,DDP,L/C 90 days,Partially Delivered,Cairo,Antoine Morel,30
SD00000058,CUST-IDN-001,Indonesian Air Force,Indonesia,Government,Rafale F3-R,9,90000000,783478577.81,EUR,2018-04-16,2020-03-27,CIF,Milestone-based,Partially Delivered,Abu Dhabi,Isabelle Bernard,50
SD00000059,CUST-IND-002,Indian Navy,India,Government,Falcon 8X,4,60000000,237125997.76,EUR,2018-12-15,2021-02-15,DAP,L/C 90 days,Partially Delivered,Paris,Sophie Leclerc,50
SD00000060,CUST-IDN-001,Indonesian Air Force,Indonesia,Government,Falcon 10X,3,75000000,227247788.5,EUR,2022-10-01,2026-05-19,DDP,Milestone-based,Cancelled,Cairo,Antoine Morel,50
SD00000061,CUST-IDN-001,Indonesian Air Force,Indonesia,Government,Rafale F3-R,5,90000000,429441061.22,EUR,2021-12-23,2023-10-03,EXW,"30% advance, 70% on delivery",Fully Delivered,Singapore,Isabelle Bernard,0
SD00000062,CUST-GRC-001,Hellenic Air Force,Greece,Government,Spare_Parts_Bundle,1,2500000,2386005.3,EUR,2020-10-13,2022-04-08,DDP,Milestone-based,Partially Delivered,Cairo,Marc Dupont,0
SD00000063,CUST-IDN-001,Indonesian Air Force,Indonesia,Government,Spare_Parts_Bundle,1,2500000,2420431.31,EUR,2018-07-05,2022-05-23,EXW,L/C 90 days,Cancelled,Cairo,Isabelle Bernard,50
SD00000064,CUST-UAE-001,UAE Air Force,UAE,Government,Falcon 10X,10,75000000,744698118.25,EUR,2020-12-24,2024-01-05,DDP,"30% advance, 70% on delivery",Partially Delivered,Cairo,Jean-Pierre Martin,0
SD00000065,CUST-PRIV-001,Tata Sons Ltd,India,Private,MRO_Package_Annual,1,5000000,4801104.84,EUR,2019-08-07,2020-12-26,EXW,L/C 90 days,Cancelled,New Delhi,Isabelle Bernard,0
SD00000066,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Government,Falcon 8X,1,60000000,60015197.08,EUR,2020-06-28,2022-06-22,DDP,L/C 90 days,Partially Delivered,Paris,Isabelle Bernard,0
SD00000067,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Government,Spare_Parts_Bundle,1,2500000,2494880.9,EUR,2023-11-30,2026-11-25,DAP,Milestone-based,Fully Delivered,Paris,Antoine Morel,0
SD00000068,CUST-IND-002,Indian Navy,India,Government,Falcon 10X,2,75000000,145716776.96,EUR,2019-04-08,2023-01-18,DDP,Milestone-based,Fully Delivered,Singapore,Sophie Leclerc,0
SD00000069,CUST-PRIV-004,Total Energies,France,Commercial,Spare_Parts_Bundle,1,2500000,2401990.12,EUR,2020-05-23,2023-07-20,DAP,Milestone-based,Fully Delivered,New Delhi,Sophie Leclerc,0
SD00000070,CUST-IND-001,Indian Air Force,India,Government,Falcon 10X,6,75000000,452533219.85,EUR,2019-01-22,2021-10-18,DAP,"30% advance, 70% on delivery",In Production,Abu Dhabi,Marc Dupont,30
SD00000071,CUST-IDN-001,Indonesian Air Force,Indonesia,Government,Falcon 8X,5,60000000,288737079.94,EUR,2019-02-03,2021-12-27,DAP,"30% advance, 70% on delivery",In Production,Abu Dhabi,Marc Dupont,0
SD00000072,CUST-PRIV-002,Reliance Industries,India,Private,Spare_Parts_Bundle,1,2500000,2475516.19,EUR,2018-09-16,2021-11-01,CIF,L/C 90 days,Fully Delivered,Paris,Antoine Morel,0
SD00000073,CUST-EGY-001,Egyptian Air Force,Egypt,Government,Falcon 10X,10,75000000,752868010.98,EUR,2018-06-21,2022-01-10,DAP,Milestone-based,Partially Delivered,Cairo,Antoine Morel,0
SD00000074,CUST-IND-002,Indian Navy,India,Government,Falcon 10X,2,75000000,149142764.46,EUR,2022-08-22,2026-01-11,DAP,"30% advance, 70% on delivery",Fully Delivered,Abu Dhabi,Antoine Morel,0
SD00000075,CUST-HRV-001,Croatian Air Force,Croatia,Government,Spare_Parts_Bundle,1,2500000,2611796.23,EUR,2022-09-26,2026-09-07,DDP,L/C 90 days,Fully Delivered,Singapore,Isabelle Bernard,50
SD00000076,CUST-PRIV-002,Reliance Industries,India,Private,Training_Package,1,3000000,2943484.74,EUR,2023-09-07,2026-04-24,DAP,Milestone-based,Partially Delivered,Abu Dhabi,Antoine Morel,0
SD00000077,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Government,MRO_Package_Annual,1,5000000,5151789.65,EUR,2018-07-21,2019-08-31,DDP,L/C 90 days,Open,Singapore,Sophie Leclerc,0
SD00000078,CUST-PRIV-003,Air France,France,Commercial,Training_Package,1,3000000,3148405.21,EUR,2020-10-06,2023-05-25,DAP,Milestone-based,Fully Delivered,Paris,Jean-Pierre Martin,0
SD00000079,CUST-IDN-001,Indonesian Air Force,Indonesia,Government,Rafale F4,7,95000000,677153942.69,EUR,2018-09-11,2020-06-17,CIF,"30% advance, 70% on delivery",Fully Delivered,Cairo,Marc Dupont,0
SD00000080,CUST-HRV-001,Croatian Air Force,Croatia,Government,Falcon 8X,2,60000000,120176013.4,EUR,2020-11-30,2023-03-31,DAP,Milestone-based,In Production,Cairo,Jean-Pierre Martin,0
SD00000081,CUST-IND-001,Indian Air Force,India,Government,Falcon 10X,3,75000000,220471050.94,EUR,2020-10-21,2022-04-20,CIF,Milestone-based,Open,Abu Dhabi,Antoine Morel,50
SD00000082,CUST-HRV-001,Croatian Air Force,Croatia,Government,Spare_Parts_Bundle,1,2500000,2499375.86,EUR,2018-07-24,2020-11-19,EXW,"30% advance, 70% on delivery",Fully Delivered,Paris,Marc Dupont,30
SD00000083,CUST-HRV-001,Croatian Air Force,Croatia,Government,MRO_Package_Annual,1,5000000,4995014.65,EUR,2022-12-20,2025-05-14,DAP,L/C 90 days,Partially Delivered,Cairo,Marc Dupont,30
SD00000084,CUST-UAE-001,UAE Air Force,UAE,Government,Falcon 6X,9,45000000,417363217.37,EUR,2018-04-29,2021-03-14,EXW,Milestone-based,Open,Cairo,Isabelle Bernard,0
SD00000085,CUST-PRIV-003,Air France,France,Commercial,Falcon 8X,7,60000000,413133307.99,EUR,2021-03-30,2022-01-14,EXW,L/C 90 days,Open,Singapore,Marc Dupont,0
SD00000086,CUST-UAE-001,UAE Air Force,UAE,Government,Rafale F3-R,1,90000000,91753132.98,EUR,2022-10-09,2024-02-29,DAP,"30% advance, 70% on delivery",Fully Delivered,New Delhi,Marc Dupont,0
SD00000087,CUST-IDN-001,Indonesian Air Force,Indonesia,Government,Spare_Parts_Bundle,1,2500000,2616083.49,EUR,2023-05-14,2026-07-07,DDP,Milestone-based,In Production,Singapore,Jean-Pierre Martin,50
SD00000088,CUST-IND-001,Indian Air Force,India,Government,Rafale F4,2,95000000,183860672.8,EUR,2019-02-14,2020-02-18,EXW,L/C 90 days,In Production,Singapore,Isabelle Bernard,0
SD00000089,CUST-IND-001,Indian Air Force,India,Government,Rafale F3-R,2,90000000,179542535.92,EUR,2023-10-16,2026-07-03,CIF,L/C 90 days,Partially Delivered,New Delhi,Sophie Leclerc,0
SD00000090,CUST-EGY-001,Egyptian Air Force,Egypt,Government,MRO_Package_Annual,1,5000000,4972044.17,EUR,2018-02-25,2020-03-05,CIF,Milestone-based,Partially Delivered,New Delhi,Isabelle Bernard,0
SD00000091,CUST-EGY-001,Egyptian Air Force,Egypt,Government,Rafale F4,3,95000000,272273929.67,EUR,2023-12-06,2025-10-30,CIF,Milestone-based,In Production,New Delhi,Isabelle Bernard,30
SD00000092,CUST-PRIV-004,Total Energies,France,Commercial,Spare_Parts_Bundle,1,2500000,2591599.59,EUR,2023-12-21,2024-09-24,EXW,L/C 90 days,Partially Delivered,New Delhi,Marc Dupont,0
SD00000093,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Government,Falcon 8X,5,60000000,288837501.06,EUR,2020-08-10,2023-12-04,EXW,Milestone-based,In Production,Abu Dhabi,Jean-Pierre Martin,0
SD00000094,CUST-PRIV-003,Air France,France,Commercial,Spare_Parts_Bundle,1,2500000,2438616.17,EUR,2022-02-13,2024-03-18,EXW,L/C 90 days,Fully Delivered,New Delhi,Sophie Leclerc,0
SD00000095,CUST-IND-002,Indian Navy,India,Government,Rafale F4,3,95000000,297667233.54,EUR,2019-09-24,2022-09-24,CIF,L/C 90 days,In Production,Singapore,Jean-Pierre Martin,50
SD00000096,CUST-IDN-001,Indonesian Air Force,Indonesia,Government,Spare_Parts_Bundle,1,2500000,2566039.32,EUR,2020-09-21,2022-11-11,DDP,Milestone-based,Fully Delivered,New Delhi,Jean-Pierre Martin,0
SD00000097,CUST-PRIV-001,Tata Sons Ltd,India,Private,Spare_Parts_Bundle,1,2500000,2546270.75,EUR,2018-10-26,2021-12-21,DAP,L/C 90 days,In Production,Singapore,Jean-Pierre Martin,0
SD00000098,CUST-IND-002,Indian Navy,India,Government,Spare_Parts_Bundle,1,2500000,2615579.05,EUR,2018-06-20,2020-05-22,DDP,"30% advance, 70% on delivery",In Production,Cairo,Antoine Morel,0
SD00000099,CUST-GRC-001,Hellenic Air Force,Greece,Government,Falcon 8X,5,60000000,303723868.78,EUR,2020-07-28,2022-12-02,EXW,"30% advance, 70% on delivery",Fully Delivered,Paris,Jean-Pierre Martin,50
SD00000100,CUST-IND-002,Indian Navy,India,Government,Spare_Parts_Bundle,1,2500000,2485135.4,EUR,2023-09-01,2025-10-06,DAP,Milestone-based,Partially Delivered,Abu Dhabi,Sophie Leclerc,30
SD00000101,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Government,Falcon 10X,11,75000000,862579699.21,EUR,2020-12-07,2022-11-23,DDP,L/C 90 days,Partially Delivered,Abu Dhabi,Jean-Pierre Martin,50
SD00000102,CUST-PRIV-002,Reliance Industries,India,Private,Falcon 6X,8,45000000,367364764.93,EUR,2019-03-15,2019-10-12,EXW,"30% advance, 70% on delivery",Fully Delivered,Singapore,Jean-Pierre Martin,0
SD00000103,CUST-EGY-001,Egyptian Air Force,Egypt,Government,Training_Package,1,3000000,3138103.5,EUR,2023-10-01,2025-09-03,CIF,L/C 90 days,Fully Delivered,Singapore,Antoine Morel,50
SD00000104,CUST-PRIV-002,Reliance Industries,India,Private,Falcon 8X,12,60000000,727117230.92,EUR,2021-06-07,2023-09-09,DDP,Milestone-based,Partially Delivered,Paris,Marc Dupont,0
SD00000105,CUST-IDN-001,Indonesian Air Force,Indonesia,Government,Falcon 8X,5,60000000,296305264.96,EUR,2018-05-30,2019-05-28,CIF,L/C 90 days,Fully Delivered,Abu Dhabi,Sophie Leclerc,30
SD00000106,CUST-EGY-001,Egyptian Air Force,Egypt,Government,Falcon 6X,9,45000000,411022248.03,EUR,2023-01-16,2024-06-12,DDP,L/C 90 days,Partially Delivered,Paris,Sophie Leclerc,0
SD00000107,CUST-PRIV-003,Air France,France,Commercial,Training_Package,1,3000000,2859025.07,EUR,2019-10-06,2023-06-07,DDP,L/C 90 days,In Production,Singapore,Jean-Pierre Martin,0
SD00000108,CUST-PRIV-004,Total Energies,France,Commercial,Falcon 6X,3,45000000,130217026.66,EUR,2018-07-03,2019-08-26,DDP,"30% advance, 70% on delivery",Open,Paris,Jean-Pierre Martin,0
SD00000109,CUST-IND-002,Indian Navy,India,Government,Spare_Parts_Bundle,1,2500000,2490327.28,EUR,2022-04-04,2023-05-23,DAP,L/C 90 days,Open,Singapore,Antoine Morel,50
SD00000110,CUST-IDN-001,Indonesian Air Force,Indonesia,Government,Spare_Parts_Bundle,1,2500000,2405425.68,EUR,2018-12-09,2021-02-01,CIF,"30% advance, 70% on delivery",In Production,Abu Dhabi,Jean-Pierre Martin,50
SD00000111,CUST-UAE-001,UAE Air Force,UAE,Government,Falcon 10X,6,75000000,456744403.92,EUR,2018-12-15,2022-10-02,DAP,Milestone-based,Partially Delivered,Abu Dhabi,Isabelle Bernard,50
SD00000112,CUST-PRIV-003,Air France,France,Commercial,Falcon 8X,4,60000000,235556684.07,EUR,2022-08-01,2026-05-17,DAP,"30% advance, 70% on delivery",In Production,Paris,Sophie Leclerc,0
SD00000113,CUST-PRIV-004,Total Energies,France,Commercial,Rafale F3-R,8,90000000,744141677.54,EUR,2022-07-14,2024-01-18,EXW,Milestone-based,Open,Singapore,Isabelle Bernard,0
SD00000114,CUST-IDN-001,Indonesian Air Force,Indonesia,Government,Rafale F4,6,95000000,542614074.09,EUR,2018-07-08,2021-06-14,CIF,Milestone-based,Partially Delivered,Abu Dhabi,Jean-Pierre Martin,0
SD00000115,CUST-IND-001,Indian Air Force,India,Government,Spare_Parts_Bundle,1,2500000,2604034.97,EUR,2021-05-10,2022-05-02,DDP,Milestone-based,Fully Delivered,Paris,Isabelle Bernard,50
SD00000116,CUST-GRC-001,Hellenic Air Force,Greece,Government,Rafale F4,7,95000000,672588880.26,EUR,2021-01-06,2024-12-22,DAP,Milestone-based,Partially Delivered,Singapore,Sophie Leclerc,50
SD00000117,CUST-HRV-001,Croatian Air Force,Croatia,Government,Falcon 6X,5,45000000,226214124.57,EUR,2022-03-28,2025-09-22,CIF,"30% advance, 70% on delivery",Fully Delivered,Cairo,Antoine Morel,50
SD00000118,CUST-IND-001,Indian Air Force,India,Government,Falcon 6X,9,45000000,402304685.88,EUR,2023-11-01,2027-07-01,CIF,L/C 90 days,Open,Paris,Marc Dupont,0
SD00000119,CUST-GRC-001,Hellenic Air Force,Greece,Government,Spare_Parts_Bundle,1,2500000,2420152.52,EUR,2023-02-01,2024-01-05,CIF,"30% advance, 70% on delivery",Partially Delivered,Singapore,Sophie Leclerc,0
SD00000120,CUST-IND-001,Indian Air Force,India,Government,Rafale F4,3,95000000,283050969.15,EUR,2022-01-08,2025-01-22,DDP,Milestone-based,Fully Delivered,Paris,Marc Dupont,0
SD00000121,CUST-PRIV-001,Tata Sons Ltd,India,Private,Rafale F3-R,10,90000000,888168939.61,EUR,2019-07-25,2020-06-18,EXW,Milestone-based,Fully Delivered,Singapore,Marc Dupont,0
SD00000122,CUST-IND-002,Indian Navy,India,Government,Training_Package,1,3000000,2995997.37,EUR,2021-04-06,2022-04-05,DDP,Milestone-based,Fully Delivered,Abu Dhabi,Isabelle Bernard,50
SD00000123,CUST-EGY-001,Egyptian Air Force,Egypt,Government,Rafale F4,2,95000000,190794402.66,EUR,2019-08-16,2021-09-08,CIF,"30% advance, 70% on delivery",Open,Cairo,Marc Dupont,0
SD00000124,CUST-EGY-001,Egyptian Air Force,Egypt,Government,Falcon 8X,10,60000000,626581507.84,EUR,2021-10-01,2025-02-11,CIF,"30% advance, 70% on delivery",Partially Delivered,Abu Dhabi,Marc Dupont,30
SD00000125,CUST-EGY-001,Egyptian Air Force,Egypt,Government,Rafale F4,9,95000000,841885278.57,EUR,2021-04-17,2023-11-16,DAP,Milestone-based,Partially Delivered,Cairo,Antoine Morel,0
SD00000126,CUST-IND-001,Indian Air Force,India,Government,Falcon 8X,3,60000000,186202153.56,EUR,2022-02-12,2025-05-24,DAP,L/C 90 days,Fully Delivered,Paris,Jean-Pierre Martin,50
SD00000127,CUST-HRV-001,Croatian Air Force,Croatia,Government,Falcon 6X,12,45000000,561517726.92,EUR,2022-08-07,2024-08-19,CIF,"30% advance, 70% on delivery",Cancelled,New Delhi,Sophie Leclerc,30
SD00000128,CUST-IDN-001,Indonesian Air Force,Indonesia,Government,Falcon 8X,9,60000000,521799570.02,EUR,2021-09-05,2023-09-28,DAP,Milestone-based,Open,Singapore,Antoine Morel,0
