VBELN_DEL,VBELN_SO,CustomerId,CustomerName,Country,Product,Qty_Ordered,Qty_Delivered,Planned_Delivery_Date,Actual_Delivery_Date,Delay_Days,IsLate,ShipPoint,TransportMode,InspectionStatus,Anomaly
VL0080000042,SD00000076,CUST-PRIV-002,Reliance Industries,India,Training_Package,1,0,2026-04-24,2026-04-24,0,False,Merignac,Sea Freight,Conditional,
VL0080000043,SD00000078,CUST-PRIV-003,Air France,France,Training_Package,1,1,2023-05-25,2023-07-24,60,True,Nagpur,Air Freight,Passed,DELAY_60D
VL0080000044,SD00000079,CUST-IDN-001,Indonesian Air Force,Indonesia,Rafale F4,7,7,2020-06-17,2020-08-16,60,True,Bordeaux,Sea Freight,Passed,DELAY_60D
VL0080000045,SD00000082,CUST-HRV-001,Croatian Air Force,Croatia,Spare_Parts_Bundle,1,1,2020-11-19,2020-11-19,0,False,Nagpur,Air Freight,Conditional,
VL0080000046,SD00000083,CUST-HRV-001,Croatian Air Force,Croatia,MRO_Package_Annual,1,0,2025-05-14,2025-06-13,30,True,Bordeaux,Road,Passed,
VL0080000047,SD00000086,CUST-UAE-001,UAE Air Force,UAE,Rafale F3-R,1,1,2024-02-29,2024-02-14,-15,False,Merignac,Sea Freight,Passed,
VL0080000048,SD00000089,CUST-IND-001,Indian Air Force,India,Rafale F3-R,2,1,2026-07-03,2026-07-03,0,False,Nagpur,Sea Freight,Conditional,
VL0080000049,SD00000090,CUST-EGY-001,Egyptian Air Force,Egypt,MRO_Package_Annual,1,0,2020-03-05,2020-06-03,90,True,Merignac,Road,Failed,DELAY_90D
VL0080000050,SD00000092,CUST-PRIV-004,Total Energies,France,Spare_Parts_Bundle,1,0,2024-09-24,2024-12-23,90,True,Nagpur,Air Freight,Passed,DELAY_90D
VL0080000051,SD00000094,CUST-PRIV-003,Air France,France,Spare_Parts_Bundle,1,1,2024-03-18,2024-03-18,0,False,Bordeaux,Road,Passed,
VL0080000052,SD00000096,CUST-IDN-001,Indonesian Air Force,Indonesia,Spare_Parts_Bundle,1,1,2022-11-11,2023-02-09,90,True,Nagpur,Air Freight,Passed,DELAY_90D
VL0080000053,SD00000099,CUST-GRC-001,Hellenic Air Force,Greece,Falcon 8X,5,5,2022-12-02,2023-01-31,60,True,Merignac,Air Freight,Passed,DELAY_60D
VL0080000054,SD00000100,CUST-IND-002,Indian Navy,India,Spare_Parts_Bundle,1,0,2025-10-06,2025-10-06,0,False,Bordeaux,Sea Freight,Passed,
VL0080000055,SD00000101,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Falcon 10X,11,9,2022-11-23,2022-12-23,30,True,Nagpur,Road,Passed,
VL0080000056,SD00000102,CUST-PRIV-002,Reliance Industries,India,Falcon 6X,8,8,2019-10-12,2020-01-10,90,True,Merignac,Road,Passed,DELAY_90D
VL0080000057,SD00000103,CUST-EGY-001,Egyptian Air Force,Egypt,Training_Package,1,1,2025-09-03,2025-10-03,30,True,Nagpur,Road,Passed,
VL0080000058,SD00000104,CUST-PRIV-002,Reliance Industries,India,Falcon 8X,12,6,2023-09-09,2023-09-09,0,False,Bordeaux,Air Freight,Passed,
VL0080000059,SD00000105,CUST-IDN-001,Indonesian Air Force,Indonesia,Falcon 8X,5,5,2019-05-28,2019-05-13,-15,False,Bordeaux,Sea Freight,Conditional,
VL0080000060,SD00000106,CUST-EGY-001,Egyptian Air Force,Egypt,Falcon 6X,9,7,2024-06-12,2024-06-12,0,False,Bordeaux,Air Freight,Passed,
VL0080000061,SD00000111,CUST-UAE-001,UAE Air Force,UAE,Falcon 10X,6,3,2022-10-02,2022-11-01,30,True,Nagpur,Air Freight,Passed,
VL0080000062,SD00000114,CUST-IDN-001,Indonesian Air Force,Indonesia,Rafale F4,6,4,2021-06-14,2021-06-14,0,False,Merignac,Air Freight,Passed,
VL0080000063,SD00000115,CUST-IND-001,Indian Air Force,India,Spare_Parts_Bundle,1,1,2022-05-02,2022-06-01,30,True,Merignac,Sea Freight,Passed,
VL0080000064,SD00000116,CUST-GRC-001,Hellenic Air Force,Greece,Rafale F4,7,4,2024-12-22,2024-12-22,0,False,Merignac,Sea Freight,Conditional,
VL0080000065,SD00000117,CUST-HRV-001,Croatian Air Force,Croatia,Falcon 6X,5,5,2025-09-22,2025-09-22,0,False,Bordeaux,Air Freight,Passed,
VL0080000066,SD00000119,CUST-GRC-001,Hellenic Air Force,Greece,Spare_Parts_Bundle,1,0,2024-01-05,2024-04-04,90,True,Bordeaux,Road,Passed,DELAY_90D
VL0080000067,SD00000120,CUST-IND-001,Indian Air Force,India,Rafale F4,3,3,2025-01-22,2025-04-22,90,True,Nagpur,Road,Passed,DELAY_90D
VL0080000068,SD00000121,CUST-PRIV-001,Tata Sons Ltd,India,Rafale F3-R,10,10,2020-06-18,2020-08-17,60,True,Bordeaux,Road,Passed,DELAY_60D
VL0080000069,SD00000122,CUST-IND-002,Indian Navy,India,Training_Package,1,1,2022-04-05,2022-03-21,-15,False,Bordeaux,Road,Conditional,
VL0080000070,SD00000124,CUST-EGY-001,Egyptian Air Force,Egypt,Falcon 8X,10,8,2025-02-11,2025-02-11,0,False,Bordeaux,Air Freight,Passed,
VL0080000071,SD00000125,CUST-EGY-001,Egyptian Air Force,Egypt,Rafale F4,9,8,2023-11-16,2023-12-16,30,True,Bordeaux,Sea Freight,Passed,
VL0080000072,SD00000126,CUST-IND-001,Indian Air Force,India,Falcon 8X,3,3,2025-05-24,2025-07-23,60,True,Nagpur,Air Freight,Passed,DELAY_60D
VL0080000073,SD00000131,CUST-IND-002,Indian Navy,India,Rafale F4,6,6,2019-08-24,2019-08-24,0,False,Merignac,Sea Freight,Conditional,
VL0080000074,SD00000133,CUST-PRIV-003,Air France,France,Rafale F4,9,9,2025-02-22,2025-04-23,60,True,Merignac,Sea Freight,Failed,DELAY_60D
VL0080000075,SD00000138,CUST-IND-001,Indian Air Force,India,Spare_Parts_Bundle,1,1,2023-08-05,2023-09-04,30,True,Bordeaux,Air Freight,Passed,
VL0080000076,SD00000139,CUST-PRIV-004,Total Energies,France,Falcon 10X,5,2,2025-03-25,2025-04-24,30,True,Bordeaux,Sea Freight,Passed,
VL0080000077,SD00000143,CUST-PRIV-003,Air France,France,Rafale F4,4,3,2019-12-28,2020-02-26,60,True,Merignac,Sea Freight,Failed,DELAY_60D
VL0080000078,SD00000145,CUST-PRIV-002,Reliance Industries,India,MRO_Package_Annual,1,1,2023-07-12,2024-07-11,365,True,Nagpur,Road,Passed,CRITICAL_DELAY_365D
VL0080000079,SD00000149,CUST-EGY-001,Egyptian Air Force,Egypt,Training_Package,1,1,2021-01-11,2021-03-12,60,True,Merignac,Sea Freight,Passed,DELAY_60D
VL0080000080,SD00000151,CUST-PRIV-002,Reliance Industries,India,Rafale F4,1,1,2020-01-31,2020-01-31,0,False,Merignac,Air Freight,Passed,
VL0080000081,SD00000153,CUST-PRIV-002,Reliance Industries,India,Falcon 8X,9,9,2023-04-27,2023-06-26,60,True,Bordeaux,Sea Freight,Passed,DELAY_60D
VL0080000082,SD00000156,CUST-PRIV-003,Air France,France,Falcon 8X,12,7,2022-01-08,2021-12-24,-15,False,Bordeaux,Sea Freight,Passed,
VL0080000083,SD00000157,CUST-UAE-001,UAE Air Force,UAE,Rafale F3-R,1,1,2025-09-30,2025-09-30,0,False,Merignac,Air Freight,Conditional,
VL0080000084,SD00000159,CUST-EGY-001,Egyptian Air Force,Egypt,Falcon 10X,2,1,2022-05-19,2022-07-18,60,True,Nagpur,Sea Freight,Passed,DELAY_60D
VL0080000085,SD00000160,CUST-UAE-001,UAE Air Force,UAE,Falcon 10X,6,6,2019-05-12,2019-08-10,90,True,Bordeaux,Air Freight,Passed,DELAY_90D
VL0080000086,SD00000164,CUST-IND-001,Indian Air Force,India,Falcon 6X,4,4,2020-07-19,2020-07-19,0,False,Nagpur,Road,Conditional,
VL0080000087,SD00000165,CUST-EGY-001,Egyptian Air Force,Egypt,Rafale F4,5,5,2023-10-29,2023-10-29,0,False,Bordeaux,Air Freight,Passed,
VL0080000088,SD00000167,CUST-GRC-001,Hellenic Air Force,Greece,Rafale F4,9,9,2023-12-31,2024-02-29,60,True,Nagpur,Air Freight,Passed,DELAY_60D
VL0080000089,SD00000168,CUST-HRV-001,Croatian Air Force,Croatia,Falcon 6X,9,9,2022-09-16,2022-09-16,0,False,Nagpur,Sea Freight,Conditional,
VL0080000090,SD00000169,CUST-PRIV-004,Total Energies,France,Rafale F4,7,7,2019-04-11,2019-04-11,0,False,Merignac,Air Freight,Conditional,
VL0080000091,SD00000173,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Rafale F4,5,5,2022-10-20,2022-10-20,0,False,Merignac,Air Freight,Passed,
VL0080000092,SD00000175,CUST-UAE-001,UAE Air Force,UAE,Falcon 8X,3,3,2026-02-02,2026-03-04,30,True,Bordeaux,Air Freight,Conditional,
VL0080000093,SD00000177,CUST-HRV-001,Croatian Air Force,Croatia,Falcon 6X,1,1,2021-01-25,2021-03-26,60,True,Nagpur,Sea Freight,Passed,DELAY_60D
VL0080000094,SD00000178,CUST-HRV-001,Croatian Air Force,Croatia,Rafale F4,10,10,2020-05-15,2020-05-15,0,False,Nagpur,Air Freight,Failed,
VL0080000095,SD00000179,CUST-PRIV-003,Air France,France,Rafale F4,8,5,2019-11-04,2020-01-03,60,True,Nagpur,Air Freight,Passed,DELAY_60D
VL0080000096,SD00000181,CUST-IND-001,Indian Air Force,India,Rafale F3-R,6,6,2024-12-19,2025-02-17,60,True,Bordeaux,Air Freight,Passed,DELAY_60D
VL0080000097,SD00000182,CUST-PRIV-004,Total Energies,France,Spare_Parts_Bundle,1,0,2022-08-20,2022-09-19,30,True,Nagpur,Sea Freight,Passed,
VL0080000098,SD00000184,CUST-PRIV-004,Total Energies,France,Falcon 6X,10,10,2020-04-13,2020-06-12,60,True,Merignac,Air Freight,Passed,DELAY_60D
VL0080000099,SD00000186,CUST-EGY-001,Egyptian Air Force,Egypt,MRO_Package_Annual,1,1,2023-08-01,2023-07-17,-15,False,Merignac,Air Freight,Conditional,
VL0080000100,SD00000190,CUST-PRIV-004,Total Energies,France,MRO_Package_Annual,1,0,2027-03-23,2027-05-22,60,True,Merignac,Sea Freight,Passed,DELAY_60D
VL0080000101,SD00000192,CUST-PRIV-003,Air France,France,MRO_Package_Annual,1,0,2023-11-18,2023-11-18,0,False,Merignac,Sea Freight,Passed,
VL0080000102,SD00000197,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Rafale F3-R,11,11,2022-01-27,2022-01-27,0,False,Nagpur,Road,Passed,
VL0080000103,SD00000198,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Falcon 6X,12,10,2026-09-30,2026-09-30,0,False,Nagpur,Sea Freight,Conditional,
VL0080000104,SD00000206,CUST-HRV-001,Croatian Air Force,Croatia,Rafale F3-R,10,10,2021-02-04,2021-03-06,30,True,Nagpur,Road,Passed,
VL0080000105,SD00000207,CUST-IND-002,Indian Navy,India,Falcon 6X,7,5,2023-04-17,2023-04-17,0,False,Bordeaux,Sea Freight,Passed,
VL0080000106,SD00000208,CUST-EGY-001,Egyptian Air Force,Egypt,Training_Package,1,1,2023-01-24,2023-01-24,0,False,Bordeaux,Sea Freight,Passed,
VL0080000107,SD00000209,CUST-EGY-001,Egyptian Air Force,Egypt,Falcon 8X,11,11,2024-09-23,2024-10-23,30,True,Nagpur,Road,Passed,
VL0080000108,SD00000213,CUST-IND-002,Indian Navy,India,MRO_Package_Annual,1,1,2024-02-12,2024-05-12,90,True,Merignac,Sea Freight,Passed,DELAY_90D
VL0080000109,SD00000214,CUST-PRIV-003,Air France,France,Spare_Parts_Bundle,1,1,2024-06-04,2024-05-05,-30,False,Nagpur,Road,Passed,
VL0080000110,SD00000218,CUST-UAE-001,UAE Air Force,UAE,Training_Package,1,1,2021-08-11,2021-08-11,0,False,Bordeaux,Air Freight,Failed,
VL0080000111,SD00000219,CUST-PRIV-003,Air France,France,Training_Package,1,0,2021-03-05,2021-03-05,0,False,Merignac,Sea Freight,Passed,
VL0080000112,SD00000220,CUST-IND-002,Indian Navy,India,MRO_Package_Annual,1,1,2020-07-12,2021-01-08,180,True,Merignac,Air Freight,Conditional,CRITICAL_DELAY_180D
VL0080000113,SD00000223,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Rafale F4,2,1,2024-03-06,2024-04-05,30,True,Merignac,Road,Passed,
VL0080000114,SD00000224,CUST-HRV-001,Croatian Air Force,Croatia,Falcon 6X,10,10,2026-01-25,2026-01-25,0,False,Bordeaux,Road,Passed,
VL0080000115,SD00000225,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Falcon 8X,7,7,2019-01-22,2019-02-21,30,True,Bordeaux,Air Freight,Passed,
VL0080000116,SD00000226,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Rafale F4,4,3,2026-10-17,2026-10-17,0,False,Nagpur,Air Freight,Passed,
VL0080000117,SD00000228,CUST-IND-001,Indian Air Force,India,Training_Package,1,1,2027-06-10,2027-12-07,180,True,Merignac,Road,Passed,CRITICAL_DELAY_180D
VL0080000118,SD00000233,CUST-IDN-001,Indonesian Air Force,Indonesia,Training_Package,1,1,2021-11-04,2021-10-20,-15,False,Bordeaux,Road,Conditional,
VL0080000119,SD00000234,CUST-GRC-001,Hellenic Air Force,Greece,Rafale F3-R,1,1,2024-03-19,2024-03-19,0,False,Merignac,Air Freight,Passed,
VL0080000120,SD00000235,CUST-HRV-001,Croatian Air Force,Croatia,Falcon 10X,10,6,2023-03-10,2023-03-10,0,False,Nagpur,Road,Passed,
VL0080000121,SD00000236,CUST-PRIV-002,Reliance Industries,India,Spare_Parts_Bundle,1,1,2021-01-29,2021-01-29,0,False,Bordeaux,Sea Freight,Passed,
VL0080000122,SD00000237,CUST-GRC-001,Hellenic Air Force,Greece,MRO_Package_Annual,1,0,2025-04-29,2025-07-28,90,True,Merignac,Air Freight,Passed,DELAY_90D
VL0080000123,SD00000239,CUST-GRC-001,Hellenic Air Force,Greece,Falcon 10X,5,5,2023-05-21,2023-06-20,30,True,Nagpur,Air Freight,Passed,
VL0080000124,SD00000240,CUST-PRIV-002,Reliance Industries,India,Falcon 6X,10,8,2022-12-08,2023-03-08,90,True,Merignac,Sea Freight,Passed,DELAY_90D
VL0080000125,SD00000242,CUST-PRIV-004,Total Energies,France,Training_Package,1,1,2024-03-03,2024-03-03,0,False,Merignac,Sea Freight,Passed,
VL0080000126,SD00000250,CUST-PRIV-004,Total Energies,France,Falcon 8X,1,0,2022-06-01,2022-11-28,180,True,Bordeaux,Road,Passed,CRITICAL_DELAY_180D
VL0080000127,SD00000251,CUST-PRIV-003,Air France,France,Rafale F4,1,0,2026-10-18,2026-10-18,0,False,Merignac,Air Freight,Conditional,
VL0080000128,SD00000252,CUST-PRIV-001,Tata Sons Ltd,India,MRO_Package_Annual,1,1,2023-04-06,2023-03-22,-15,False,Bordeaux,Road,Passed,
VL0080000129,SD00000253,CUST-PRIV-003,Air France,France,Rafale F4,11,11,2026-05-31,2026-06-30,30,True,Bordeaux,Sea Freight,Passed,
VL0080000130,SD00000255,CUST-PRIV-002,Reliance Industries,India,Falcon 10X,7,7,2023-01-15,2023-02-14,30,True,Bordeaux,Sea Freight,Passed,
VL0080000131,SD00000258,CUST-HRV-001,Croatian Air Force,Croatia,Training_Package,1,1,2021-01-24,2021-01-24,0,False,Nagpur,Air Freight,Failed,
VL0080000132,SD00000261,CUST-IDN-001,Indonesian Air Force,Indonesia,Rafale F4,10,5,2019-03-10,2019-03-10,0,False,Merignac,Air Freight,Conditional,
VL0080000133,SD00000262,CUST-GRC-001,Hellenic Air Force,Greece,Rafale F3-R,8,8,2024-08-01,2024-08-31,30,True,Nagpur,Road,Passed,
VL0080000134,SD00000264,CUST-GRC-001,Hellenic Air Force,Greece,Falcon 6X,9,9,2024-04-19,2024-03-20,-30,False,Bordeaux,Road,Passed,
VL0080000135,SD00000265,CUST-IND-002,Indian Navy,India,Falcon 8X,3,3,2022-03-22,2022-03-22,0,False,Nagpur,Sea Freight,Passed,
VL0080000136,SD00000266,CUST-PRIV-004,Total Energies,France,Falcon 10X,9,7,2021-07-13,2021-07-13,0,False,Nagpur,Sea Freight,Passed,
VL0080000137,SD00000267,CUST-EGY-001,Egyptian Air Force,Egypt,Rafale F4,3,2,2019-09-10,2019-11-09,60,True,Merignac,Sea Freight,Failed,DELAY_60D
VL0080000138,SD00000268,CUST-PRIV-004,Total Energies,France,Rafale F3-R,11,11,2021-11-13,2021-11-13,0,False,Merignac,Road,Passed,
VL0080000139,SD00000270,CUST-IND-002,Indian Navy,India,Falcon 8X,3,3,2026-03-10,2026-03-10,0,False,Merignac,Sea Freight,Conditional,
VL0080000140,SD00000272,CUST-PRIV-003,Air France,France,Spare_Parts_Bundle,1,1,2021-09-28,2021-11-27,60,True,Merignac,Sea Freight,Passed,DELAY_60D
VL0080000141,SD00000273,CUST-UAE-001,UAE Air Force,UAE,Falcon 10X,5,4,2020-05-29,2020-07-28,60,True,Merignac,Air Freight,Conditional,DELAY_60D
VL0080000142,SD00000274,CUST-IND-001,Indian Air Force,India,Falcon 10X,8,8,2020-05-31,2020-05-16,-15,False,Merignac,Road,Passed,
VL0080000143,SD00000275,CUST-GRC-001,Hellenic Air Force,Greece,Falcon 6X,11,11,2024-11-16,2025-01-15,60,True,Nagpur,Air Freight,Passed,DELAY_60D
VL0080000144,SD00000276,CUST-PRIV-002,Reliance Industries,India,MRO_Package_Annual,1,0,2022-07-14,2022-07-14,0,False,Merignac,Sea Freight,Conditional,
VL0080000145,SD00000278,CUST-PRIV-002,Reliance Industries,India,Falcon 8X,1,0,2021-02-08,2021-03-10,30,True,Nagpur,Road,Failed,
VL0080000146,SD00000279,CUST-UAE-001,UAE Air Force,UAE,Rafale F3-R,3,2,2025-04-18,2025-04-18,0,False,Bordeaux,Air Freight,Passed,
VL0080000147,SD00000280,CUST-HRV-001,Croatian Air Force,Croatia,Falcon 8X,10,8,2020-09-30,2020-12-29,90,True,Merignac,Road,Passed,DELAY_90D
VL0080000148,SD00000282,CUST-UAE-001,UAE Air Force,UAE,Falcon 8X,2,2,2020-06-03,2020-07-03,30,True,Merignac,Air Freight,Conditional,
VL0080000149,SD00000283,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Rafale F4,12,9,2022-08-28,2022-10-27,60,True,Bordeaux,Sea Freight,Passed,DELAY_60D
VL0080000150,SD00000285,CUST-HRV-001,Croatian Air Force,Croatia,Falcon 8X,10,10,2026-07-22,2026-09-20,60,True,Bordeaux,Air Freight,Passed,DELAY_60D
VL0080000151,SD00000286,CUST-PRIV-004,Total Energies,France,Spare_Parts_Bundle,1,1,2023-11-22,2023-12-22,30,True,Nagpur,Air Freight,Passed,
VL0080000152,SD00000287,CUST-UAE-001,UAE Air Force,UAE,Falcon 10X,11,11,2022-07-09,2022-07-09,0,False,Nagpur,Sea Freight,Passed,
VL0080000153,SD00000289,CUST-PRIV-004,Total Energies,France,Rafale F4,2,2,2024-05-11,2024-05-11,0,False,Nagpur,Sea Freight,Passed,
VL0080000154,SD00000290,CUST-PRIV-002,Reliance Industries,India,Falcon 10X,10,9,2020-06-23,2020-09-21,90,True,Bordeaux,Air Freight,Conditional,DELAY_90D
VL0080000155,SD00000291,CUST-IND-001,Indian Air Force,India,Falcon 6X,7,7,2019-09-02,2019-12-01,90,True,Merignac,Air Freight,Failed,DELAY_90D
VL0080000156,SD00000292,CUST-EGY-001,Egyptian Air Force,Egypt,MRO_Package_Annual,1,1,2023-12-29,2024-03-28,90,True,Merignac,Air Freight,Failed,DELAY_90D
VL0080000157,SD00000293,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Falcon 6X,9,8,2020-07-03,2020-08-02,30,True,Nagpur,Road,Passed,
VL0080000158,SD00000297,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Rafale F4,1,1,2021-06-28,2021-09-26,90,True,Bordeaux,Sea Freight,Conditional,DELAY_90D
VL0080000159,SD00000298,CUST-IND-002,Indian Navy,India,Falcon 6X,6,6,2027-01-10,2027-02-09,30,True,Nagpur,Road,Passed,
VL0080000160,SD00000300,CUST-EGY-001,Egyptian Air Force,Egypt,Rafale F3-R,11,11,2024-11-30,2024-11-30,0,False,Nagpur,Road,Failed,
